0	1
movie vara level la Erika poguthu	0
Padam nalla comedy padama irukum polaye..	0
karthick subburaj anne .... intha padam vetri adaya unagalukku ennudaya valthukkal...	0
கவுண்டர் தேவர்.சார்பாக வெற்றி பெற வாழ்த்துக்கள் 🦁	0
ippo intha trailer ah parkuravana oru like podunga	0
En thalaivan yogi babu irukkaar. Padam vera level laa irukkum	0
Nerkonda parvai...  Sema sema sema trailer	0
ஏய் இது 96 யார் ஏமாத்தறீங்க? செம பின்னிட்டீங்க	0
படம் கண்டிப்பாக வெற்றி பெற வேண்டும் செம்ம vara level	0
Correct. Enga apa military da oodi vilaiyada solli tharuvaaaayaa	1
Dislike pottavan ratham khaki dha savan	0
ANANDHI ARMY HIT LIKE!! Ennayum ipdi aakitingale Anandi... #AnbukkuNanAdimai	0
Thalaivaa mass nadipin nayagan surya anna fans hits like	0
இந்த படம் கண்டிப்பாக வெற்றியடைய வேண்டும் என வாழ்த்துகிறேன்....	0
Hit like if anybody laughed during this 1.06 .... Thaamasuuuu!!	0
I Love vijay Anna, u r so cute anna	0
Dei Rajini pavam da ne varaven poraven ellam karithuppatha koraiya pesittu erukkan 1:58	1
செட்டியார் இன மக்கள் சார்பாக எனது சொந்த செலவில் 100 டிக்கெட் இலவசமாக வழங்குகிறேன். படக்குழுவினர்க்கு எனது மனமார்ந்த வாழ்த்துக்கள்	0
Dhanush fans hit like here.....	0
Dey dey deyyy,, loosu pasangala,, munna pinna jayalalitha amma va pathrukingalada gambeeramna ennanu avanga kannula tha paakanum,, amma oda history ah ithu,, soniya gandhi mari iruku chaiiii,,, avanga bio edukanumna a-z pathutu vanthu edungadaa,, dummy akkaathinga	1
aathii yenna pa different aah eruku sama	0
Viswasam teaser Ku aprm yarllam inga vanteenga?	0
Intha maari comments ku like kekuravangala india va vittu veliya annupanum	1
250 k likes ineram sila arivuketta pundaika ithku karanam vivek obrai ila kajal ila aksara kakathanu innum sollala?	1
Ellam okay than....but antha ponnu aasa pattu love panni avanaiye kola panna thappu illaya...yosinga............	0
Short film ah yum vittu vakalaya... Enada panni vachirukeenga	1
Super  i am waiting	0
Any Nani and Surya mutual fans?	0
தமிழ் நாட்ல இருக்குற சாதிய பைத்தியகார கூதியானுங்கள எல்லாம் ஓரே இடத்தில் பார்க்க ஒரு வாய்ப்பை தந்த மோகன் வன்னிக்கு சாரி பன்னிக்கு நன்றிகள்	1
Kekka bekka short film mathiri iruku	0
உங்க எல்லோரையும் பா. ரஞ்சித் எப்படி எல்லாம் கதர விட்டு இருக்காருன்னு இப்ப தான் புரியுது. அட்டகத்தி, மெட்ராஸ், பரியேறும் பெருமாள் இன்னும் எத்தனையோ படம் இன்னும் வர போகுது அதுக்கு எல்லோரும் மனச தேர்தி கொள்ளுங்க நண்பா	0
Hit Like If U Felt Watching #Sarkar Movie	0
Intha padamavuthu s.k ku nalla come back ah irukanum...	0
Dance Illa p. Deva vai paarkave mudiyadhu pola	0
Love scenes la  Vera level thalaivar,	0
இந்த படம் மாபெரும் வெற்றியடையும்.  #கமல்ஹாசன் ரசிகா்களின் வாழ்த்துக்கள்	0
STR MASSSSSSSSSSSSSSS #ENIMEH NAMBA THAN DA	0
Otha vaaya odachiruven thalapathiya pathu sirichirukka	1
B- Bhayakaramana A- Ajith I- In R-Rasigar A-Admitting  V-Vijay A-Anna A-Awesome <3	0
Just 10 years apadiye elarum patha mathiri irukinga 🥳 padam vetriyadaya Vazthukal 🥳🥳🤩🤩	0
Die Hard #Thala Fans Hit LIKE...	0
